Table 1.,"Total number of public school teachers and percentage distribution of school teachers, by race/ethnicity and state: 2011–12",,,,,,,,,,,,,,,,,,
State,,Total number of teachers,,Percent of teachers by race/ethnicity,,,,,,,,,,,,,,,
,,,,"Hispanic, regardless 
of race",,"White, non-Hispanic",,"Black, non-Hispanic",,"Asian, non-Hispanic",,"Native  Hawaiian/
Pacific Islander,
 non-
Hispanic",,"American Indian/Alaska Native, non-Hispanic",,"Two or more races, non-Hispanic",,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
United States,,"3,385,200", ,7.8, ,81.9, ,6.8, ,1.8, ,0.1, ,0.5, ,1.0, ,,
Alabama,,"45,000", ,‡, ,78.8, ,18.6, ,‡, ,#, ,‡, ,0.5,!,,
Alaska,,"7,500", ,‡, ,85.7, ,‡, ,‡, ,‡, ,7.4,!,2.4,!,,
Arizona,,"61,700", ,13.1, ,80.1, ,2.8, ,1.7, ,‡, ,1.3,!,0.9, ,,
Arkansas,,"37,700", ,‡, ,82.3, ,13.6, ,#, ,#, ,‡, ,1.9,!,,
California,,"285,500", ,17.2, ,70.5, ,3.2, ,6.1, ,0.3,!,0.2,!,2.5, ,,
Colorado,,"55,900", ,7.0, ,88.3, ,‡, ,‡, ,#, ,‡, ,1.5,!,,
Connecticut,,"44,900", ,3.4, ,92.9, ,2.7,!,‡, ,#, ,#, ,‡, ,,
Delaware,,"9,300", ,5.7,!,84.7, ,9.3,!,#, ,#, ,‡, ,‡, ,,
District of Columbia,,‡,,‡,,‡,,‡,,‡,,‡,,‡,,‡,,,
Florida,,‡,,‡,,‡,,‡,,‡,,‡,,‡,,‡,,,
Georgia,,"123,300", ,2.5,!,76.2, ,17.1, ,‡, ,#, ,‡, ,‡, ,,
Hawaii,,‡,,‡,,‡,,‡,,‡,,‡,,‡,,‡,,,
Idaho,,"16,300", ,3.1,!,92.7, ,#, ,‡, ,#, ,‡, ,‡, ,,
Illinois,,"140,900", ,7.1, ,83.3, ,7.1, ,1.2,!,‡, ,‡, ,0.9,!,,
Indiana,,"64,000", ,2.7,!,92.6, ,4.2,!,‡, ,#, ,‡, ,‡, ,,
Iowa,,"36,100", ,‡, ,98.7, ,#, ,#, ,‡, ,‡, ,‡, ,,
Kansas,,"36,500", ,1.6, ,95.3, ,‡, ,‡, ,#, ,‡, ,‡, ,,
Kentucky,,"46,800", ,‡, ,94.5, ,4.2, ,‡, ,‡, ,#, ,‡, ,,
Louisiana,,"44,500", ,‡, ,74.4, ,19.9, ,‡, ,#, ,‡, ,1.3,!,,
Maine,,"18,400", ,1.9,!,97.1, ,#, ,‡, ,#, ,‡, ,‡, ,,
Maryland,,‡,,‡,,‡,,‡,,‡,,‡,,‡,,‡,,,
Massachusetts,,"79,200", ,1.3,!,96.6, ,‡, ,‡, ,‡, ,‡, ,‡, ,,
Michigan,,"96,700", ,2.1,!,92.1, ,4.2, ,0.7,!,‡, ,‡, ,0.9,!,,
Minnesota,,"62,300", ,1.0,!,95.3, ,1.7,!,1.0,!,‡, ,‡, ,0.9,!,,
Mississippi,,"37,600", ,‡, ,73.3, ,25.0, ,‡, ,#, ,#, ,‡, ,,
See notes at end of table.,,,,,,,,,,,,,,,,,,,
Table 1.,"Total number of public school teachers and percentage distribution of school teachers, by race/ethnicity and state: 2011–12—Continued",,,,,,,,,,,,,,,,,,
State,,Total number of teachers,,Percent of teachers by race/ethnicity,,,,,,,,,,,,,,,
,,,,"Hispanic, regardless 
of race",,"White, non-Hispanic",,"Black, non-Hispanic",,"Asian, non-Hispanic",,"Native  Hawaiian/
Pacific Islander,
 non-
Hispanic",,"American Indian/Alaska Native, non-Hispanic",,"Two or more races, non-Hispanic",,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Missouri,,"68,700", ,0.6,!,90.6, ,6.7, ,‡, ,#, ,‡, ,1.3,!,,
Montana,,"12,400", ,‡, ,95.9, ,#, ,‡, ,‡, ,‡, ,1.1,!,,
Nebraska,,"23,900", ,2.1,!,96.8, ,#, ,‡, ,#, ,‡, ,‡, ,,
Nevada,,"25,200", ,9.5, ,80.5, ,3.6,!,‡, ,‡, ,‡, ,‡, ,,
New Hampshire,,"15,700", ,‡, ,97.8, ,‡, ,‡, ,#, ,‡, ,‡, ,,
New Jersey,,"125,200", ,9.3, ,82.2, ,6.6, ,1.4, ,#, ,#, ,0.5,!,,
New Mexico,,"21,700", ,36.6, ,56.7, ,‡, ,0.9,!,‡, ,3.0,!,‡, ,,
New York,,"241,400", ,9.8, ,76.3, ,8.6,!,3.4,!,‡, ,‡, ,1.2,!,,
North Carolina,,"104,300", ,2.7, ,84.1, ,10.4, ,‡, ,‡, ,‡, ,‡, ,,
North Dakota,,"10,300", ,‡, ,96.2, ,#, ,‡, ,‡, ,‡, ,‡, ,,
Ohio,,"122,100", ,1.6,!,92.6, ,5.0, ,0.3,!,#, ,#, ,‡, ,,
Oklahoma,,"46,200", ,1.1,!,82.0, ,3.5,!,‡, ,‡, ,8.6, ,4.5,!,,
Oregon,,"31,800", ,5.7, ,88.6, ,‡, ,‡, ,‡, ,‡, ,1.4,!,,
Pennsylvania,,"148,800", ,2.1,!,95.7, ,‡, ,‡, ,#, ,#, ,‡, ,,
Rhode Island,,‡,,‡,,‡,,‡,,‡,,‡,,‡,,‡, ,,
South Carolina,,"51,800", ,2.1,!,81.3, ,15.5, ,‡, ,#, ,#, ,‡, ,,
South Dakota,,"10,800", ,‡, ,98.3, ,#, ,‡, ,#, ,‡, ,‡, ,,
Tennessee,,"76,500", ,2.8,!,91.3, ,5.2, ,‡, ,#, ,‡, ,‡, ,,
Texas,,"350,800", ,23.1, ,65.3, ,9.0, ,‡, ,#, ,‡, ,‡, ,,
Utah,,"27,900", ,0.5,!,97.1, ,‡, ,‡, ,‡, ,‡, ,0.6,!,,
Vermont,,"9,400", ,‡, ,97.1, ,‡, ,‡, ,#, ,#, ,1.1,!,,
Virginia,,"88,500", ,2.5,!,85.4, ,9.7, ,1.5,!,#, ,‡, ,0.9,!,,
Washington,,"55,500", ,3.8,!,87.0, ,‡, ,3.6,!,‡, ,0.1,!,3.2,!,,
West Virginia,,"24,200", ,‡, ,98.0, ,‡, ,#, ,#, ,#, ,‡, ,,
Wisconsin,,"66,800", ,‡, ,96.3, ,‡, ,‡, ,‡, ,‡, ,‡, ,,
Wyoming,,"8,500", ,4.8,!,91.0, ,‡, ,‡, ,#, ,‡, ,‡, ,,
"# Rounds to zero.
! Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 percent and 50 percent (i.e., the standard error is at least 30 percent and less than 50 percent of the estimate).
‡ Reporting standards not met. The coefficient of variation (CV) for this estimate is 50 percent or greater (i.e., the standard error is 50 percent or more of the estimate) or the response rate is below 50 percent.
NOTE: Black includes African American and Hispanic includes Latino. Teachers include both full-time and part-time teachers. Detail may not sum to totals because of rounding and because some data are not shown.                    
SOURCE: U.S. Department of Education, National Center for Education Statistics, Schools and Staffing Survey (SASS), ""Public School Teacher Data File,"" 2011–12.",,,,,,,,,,,,,,,,,,,